Challenge,Category,Points,NumSolves
Game Of Life,Crypto,150,178 times
Bpythonastic,Forensic,300,121 times
Private,Forensic,100,114 times
Crackme Prime,Crackme/Reverse,150,90 times
faceSec,Web,100,85 times
Clark Kent,Crackme/Reverse,150,72 times
Superman,Crackme/Reverse,500,49 times
Updator,Exploit,200,40 times
Cooper,Stegano,300,29 times
Mass Surveillance Software,Crackme/Reverse,300,27 times
Raptor,Misc,400,19 times
faceBox,Web,100,18 times
SecureAuth,Exploit,350,16 times
WeshGrow,Crypto,300,10 times
PDFCeption,Forensic,500,7 times
Bleep,Misc,200,6 times
Mickey,Web,1,0 times
MacBeth,Misc,350,0 times
FollowTheRabbit,Misc,200,0 times
