Rank #,Name,Country,Score,Last Points
1,pollypocket,Belgium,4100,4/4/2015 22:34:49
2,tasteless,European Union,3600,4/4/2015 22:56:10
3,0daysober,France,3250,4/4/2015 23:38:11
4,SUSlo,Russian Federation,3200,4/4/2015 23:08:25
5,StratumAuhuur,Germany,3200,4/4/2015 23:37:40
6,hexpresso,France,3100,4/4/2015 18:38:38
7,Zenk-Security,France,3050,4/4/2015 21:50:37
8,CyKor,South Korea,2800,4/4/2015 20:04:57
9,Fapsec,France,2800,4/4/2015 22:22:14
10,HacknamStyle,Belgium,2800,4/4/2015 23:54:10
11,DatNoobs,Slovakia,2750,4/4/2015 23:13:01
12,0ops,China,2700,4/4/2015 23:50:56
13,On est pas contents,Switzerland,2550,4/4/2015 23:53:59
14,MagicSmoke,Switzerland,2500,4/4/2015 23:52:27
15,0x8F,United Kingdom(Great Britain),2450,4/4/2015 17:00:07
16,int3pids,Spain,2450,4/4/2015 23:31:41
17,RDot,Russian Federation,2400,4/4/2015 23:46:56
18,SpamAndHex,Hungary,2350,4/4/2015 23:48:07
19,SouthDePoisson,France,2200,4/4/2015 20:00:14
20,eindbazen,Netherlands,2150,4/4/2015 20:41:00
21,cctt,Viet Nam,2050,4/4/2015 19:14:12
22,Ad Victoriam,South Korea,2050,4/4/2015 20:18:23
23,securimag,France,2050,4/4/2015 20:55:43
24,LSE_,France,2050,4/4/2015 23:32:54
25,dodododo,japan,2000,4/4/2015 21:33:10
26,0x00000000,japan,1950,4/4/2015 15:11:40
27,Spiderz,Morocco,1950,4/4/2015 18:45:48
28,dcua,Ukraine,1950,4/4/2015 19:32:00
29,khack40,France,1950,4/4/2015 21:08:56
30,binja,japan,1950,4/4/2015 23:04:14
31,Singularity,Russian Federation,1900,4/4/2015 22:40:51
32,hackgyver,France,1850,4/4/2015 23:44:27
33,Whitehatters Academy,United Kingdom(Great Britain),1750,4/4/2015 8:59:18
34,Dragon Sector,Poland,1700,4/4/2015 21:31:33
35,mongols,Mongolia,1650,4/4/2015 11:28:47
36,peanuts,France,1650,4/4/2015 19:21:57
37,loco,Netherlands,1650,4/4/2015 21:32:04
38,CureSecure,japan,1650,4/4/2015 21:50:12
39,w0pr,Spain,1550,4/4/2015 21:56:22
40,OOatXX,Taiwan,1450,4/4/2015 17:24:01
41,amnesia,Spain,1450,4/4/2015 18:13:11
42,Snatch The Root,Poland,1450,4/4/2015 21:05:44
43,CLGT,Viet Nam,1450,4/4/2015 21:30:25
44,sec0d,France,1450,4/4/2015 22:07:24
45,RainbowMagicPrincessFairies,Antarctica,1350,4/4/2015 9:23:03
46,thecat,North Korea,1350,4/4/2015 12:27:54
47,Peterpwn,Russian Federation,1350,4/4/2015 15:34:40
48,jupiler,Afghanistan,1350,4/4/2015 22:13:45
49,lyleholmesUvU,Afghanistan,1200,4/4/2015 23:21:49
50,Vegan Zombies,United States of America(USA),1150,4/4/2015 16:06:12
51,GeeksSpeak,Iran,1150,4/4/2015 21:42:11
52,CandyEaters,France,1150,4/4/2015 23:47:51
53,reap,Canada,1100,4/4/2015 21:06:58
54,skuater1,Spain,1050,4/4/2015 16:57:51
55,AquaPonyTeam,France,1050,4/4/2015 19:38:24
56,gallopsled,Denmark,1050,4/4/2015 23:32:35
57,TokyoWesterns,japan,1000,4/4/2015 18:19:30
58,Honeypot,Russian Federation,1000,4/4/2015 23:37:20
59,gunn,United States of America(USA),950,4/4/2015 8:56:25
60,KITCTF,Germany,950,4/4/2015 19:07:39
61,smokeleeteveryday,Netherlands,950,4/4/2015 21:46:36
62,bitbitbit,France,950,4/4/2015 21:55:46
63,BH2453,France,950,4/4/2015 23:56:19
64,TeamTFH,France,950,4/4/2015 23:59:56
65,d0sette,Cameroon,900,4/4/2015 21:43:33
66,keysec,France,850,4/4/2015 2:48:40
67,StrikeB4ck,France,850,4/4/2015 12:38:53
68,zzzzz,Afghanistan,800,4/4/2015 14:33:17
69,AdopteUnMec,France,800,4/4/2015 16:13:31
70,sharknado,Antarctica,800,4/4/2015 20:34:17
71,rentjong,Indonesia,800,4/4/2015 22:03:23
72,benji,France,750,4/4/2015 13:11:39
73,Batman's Kitchen,United States of America(USA),750,4/4/2015 14:12:45
74,BalalaikaCr3w,Russian Federation,750,4/4/2015 16:56:29
75,OSTeam,South Korea,750,4/4/2015 17:33:04
76,sigint,United States of America(USA),750,4/4/2015 19:34:55
77,SwissMadeSecurity,Switzerland,750,4/4/2015 20:44:14
78,girav,Russian Federation,750,4/4/2015 22:16:22
79,CSI Oryza,Indonesia,700,4/4/2015 13:52:54
80,BambooFox,Taiwan,700,4/4/2015 15:07:03
81,RooterX,Russian Federation,700,4/4/2015 15:45:18
82,CDAISI,France,700,4/4/2015 21:23:04
83,PowneRangers,France,700,4/4/2015 21:41:29
84,MinistryOfSillyHacks,Germany,700,4/4/2015 22:23:40
85,mafia,France,700,4/4/2015 23:00:27
86,MojoMaster,France,650,4/4/2015 3:34:41
87,Shellphish,United States of America(USA),650,4/4/2015 8:49:14
88,CaptureTheSwag,Australia,650,4/4/2015 10:50:30
89,javaPathNotFound,France,650,4/4/2015 15:16:43
90,Malaise Ideas Battle Happiness,United States of America(USA),650,4/4/2015 22:03:50
91,Church of 0x41414141,Poland,650,4/4/2015 23:01:48
92,Mr.ST4N,France,550,4/4/2015 5:51:54
93,shiomoomin,japan,550,4/4/2015 5:53:35
